Company Name,Symbol
Adani,ADANIENT.NSE
Adani Enterprises,ADANIENT.NSE
Adani Ports,ADANIPORTS.NSE
Apollo Hospitals,APOLLOHOSP.NSE
Asian Paints,ASIANPAINT.NSE
Axis Bank,AXISBANK.NSE
Bajaj Auto,BAJAJ-AUTO.NSE
Bajaj Finance,BAJFINANCE.NSE
Bajaj Finserv,BAJAJFINSV.NSE
Bharat Petroleum Corporation,BPCL.NSE
BPCL,BPCL.NSE
Bharti Airtel,BHARTIARTL.NSE
Airtel,BHARTIARTL.NSE
Britannia,BRITANNIA.NSE
Cipla,CIPLA.NSE
Coal India,COALINDIA.NSE
Divi's Laboratories,DIVISLAB.NSE
Divislab,DIVISLAB.NSE
Dr. Reddy's Laboratories,DRREDDY.NSE
Dr. Reddy's,DRREDDY.NSE
Dr Reddy's,DRREDDY.NSE
Dr Reddys,DRREDDY.NSE
Dr Reddy,DRREDDY.NSE
Eicher,EICHERMOT.NSE
Grasim,GRASIM.NSE
HCL,HCLTECH.NSE
HDFC Bank,HDFCBANK.NSE
HDFC,HDFCBANK.NSE
HDFC Life,HDFCLIFE.NSE
Hero MotoCorp,HEROMOTOCO.NSE
Hero Moto,HEROMOTOCO.NSE
Hindalco,HINDALCO.NSE
Hindustan Unilever,HINDUNILVR.NSE
Unilever,HINDUNILVR.NSE
ICICI,ICICIBANK.NSE
ITC,ITC.NSE
IndusInd Bank,INDUSINDBK.NSE
IndusInd,INDUSINDBK.NSE
Infosys,INFY.NSE
JSW Steel,JSWSTEEL.NSE
Kotak,KOTAKBANK.NSE
L&T,LT.NSE
Larsen,LT.NSE
Maruti,MARUTI.NSE
NTPC,NTPC.NSE
Nestle,NESTLEIND.NSE
Oil & Natural Gas Corporation,ONGC.NSE
Oil and Natural,ONGC.NSE
ONGC,ONGC.NSE
Power Grid,POWERGRID.NSE
Reliance,RELIANCE.NSE
SBI Life,SBILIFE.NSE
State Bank,SBIN.NSE
Sun Pharmaceutical,SUNPHARMA.NSE
Sun Pharma,SUNPHARMA.NSE
Tata Consultancy Services,TCS.NSE
TCS,TCS.NSE
Tata Consumer,TATACONSUM.NSE
Tata Motors,TATAMOTORS.NSE
Tata Steel,TATASTEEL.NSE
Tech Mahindra,TECHM.NSE
Titan,TITAN.NSE
UltraTech,ULTRACEMCO.NSE
Wipro,WIPRO.NSE
Shriram Finance,SHRIRAMFIN.NSE
Shriram,SHRIRAMFIN.NSE
Bharat Electronics,BEL.NSE
BEL,BEL.NSE
Trent,TRENT.NSE
